# Sepal.Length,Sepal.Width,Petal.Length ,Petal.Width
4.624566323700127768e+00,3.426053486719106811e+00,9.286683816843930295e-01,7.445531214744116610e-02
5.251567906474402747e+00,3.682927590711218002e+00,1.816721932088926961e+00,4.980756121094693789e-01
3.807358547977955254e+00,2.137751746516830309e+00,9.582950404217189799e-01,-1.474829659679603999e-01
4.659515052896558984e+00,2.623385828937149888e+00,1.995287607506446292e+00,3.809836538481723434e-01
5.068801398927569757e+00,3.191219179402354111e+00,2.076801698929787943e+00,5.189388835744763728e-01
5.479602418729968782e+00,3.842655465981517082e+00,2.057150817401192100e+00,6.291812934984467587e-01
4.525755617193903291e+00,2.988127487385646930e+00,1.283522953179950132e+00,1.453280169259096866e-01
4.973214854342384861e+00,3.320265972290295853e+00,1.732005290363568317e+00,3.961089423941539511e-01
4.182363491221747331e+00,3.198071562959932557e+00,3.606405562855727887e-01,-2.080971329175265172e-01
4.276826388705449844e+00,2.475013313351162481e+00,1.442796592367721953e+00,1.195159107596319714e-01
5.535083228595097715e+00,4.626984730792093714e+00,1.187565345361152325e+00,4.029295570778784752e-01
4.875522673272722152e+00,3.234003426286764515e+00,1.651205453255337741e+00,3.461176421529337244e-01
5.209999939872816732e+00,3.773683199915486508e+00,1.623657910217688904e+00,4.326658123218382057e-01
4.551533065730009042e+00,2.999004541186580219e+00,1.319638953797880099e+00,1.626344423247643167e-01
4.779312295784106546e+00,3.789534094916537477e+00,7.742492637026949787e-01,7.508957024708617922e-02
5.488880841652216347e+00,4.266543047209783168e+00,1.547298998311418039e+00,4.899773352021489226e-01
5.297320767113095741e+00,3.972251721508861522e+00,1.544661266692276769e+00,4.352878179472225995e-01
5.118584226711953455e+00,3.654543202763506748e+00,1.595880350882350918e+00,3.991907384798770719e-01
5.542220185641405727e+00,4.123931217800979709e+00,1.827598594803862220e+00,5.829676549776817707e-01
5.869574178066735648e+00,4.636769948154171317e+00,1.819745000190227557e+00,6.729873984213128324e-01
4.986878428041332079e+00,3.126810265802532296e+00,1.999172565394152112e+00,4.742711664458952869e-01
5.209434744468819822e+00,3.666964708660960692e+00,1.755430040222794030e+00,4.691595730739330783e-01
4.567494272636545283e+00,2.857931494150283136e+00,1.526017736350044895e+00,2.245352621714238328e-01
4.952646524647764892e+00,3.240299417604958876e+00,1.791938210693477362e+00,4.069861449247803575e-01
4.051609084840610109e+00,2.550265613574856260e+00,9.152523769411406995e-01,-9.065856370491598426e-02
5.104735347893933906e+00,3.678318262143636552e+00,1.539602784000168256e+00,3.796361548916976636e-01
4.730442881209719452e+00,2.807787559850718928e+00,1.902348737942575863e+00,3.751102337217112614e-01
4.997160319481196211e+00,3.712606342809333881e+00,1.289683210696700222e+00,2.798198536995225583e-01
5.860835347324972133e+00,4.505764942585109623e+00,1.966007365067917068e+00,7.112094479822403947e-01
